NORD OUEST,Café Arabica,4575.33,269.156,111,111,111
NORD OUEST,Choux (cabbages),16,91.5,111,111,111
NORD OUEST,Poivre,111,111,111,111,111
NORD OUEST,Caoutchouc,111,111,111,111,111
NORD OUEST,Carotte,111,10,111,111,111
NORD OUEST,Mangue,8,7.5,111,111,111
NORD OUEST,Aubergine (garden eggs),111,90,111,111,111
NORD OUEST,Avocat,8.6,18.5,111,111,111
OUEST,Ananas,1417,1600,1725,1864,2013
OUEST,Arachide,4876,4069,4128,4458,5082
OUEST,Banane douce,99473,66002,67073,74652,76684
OUEST,Banane Plantain,240397,253811,268047,268047,236665
OUEST,Concombre,2124,2284,2694,2828,3947
OUEST,Gingembre,5368,5826,8337,8770,8323
OUEST,Gombo,10131,10683,10824,11231,11823
OUEST,Haricot sec,125802,133084,143598,146470,149400
OUEST,Palmier à huile,3524,3765,4628,4860,4850
OUEST,Igname,38888,40881,42034,36443,42638
OUEST,Macabo/Taro,130255,134257,138128,138128,138128
